Name,one,two,thr,for,fiv,six,sev,etg,nin,ten,ele,twe,thi,fro,fif,sit
L1_ETMHF100,2.1,5.8,4.3,63.5%,-34.8%,-103.1%,4.6,3.8,-16.7%,2129,5827,4324,3511,4559,3797
L1_ETMHF110,1.4,2.2,1.6,37.3%,-33.3%,-19.7%,2.8,1.8,-35.7%,1378,2198,1649,2204,2768,1780
L1_ETMHF120,1.0,1.0,0.7,-0.5%,-33.4%,25.4%,1.8,0.8,-53.6%,998,993,745,1592,1791,831
L1_ETMHF130,0.8,0.6,0.5,-38.9%,-16.1%,38.0%,1.1,0.6,-47.9%,837,602,519,1265,1140,593
L1_ETMHF140,0.8,0.4,0.3,-79.5%,-30.0%,57.1%,1.0,0.2,-75.7%,760,423,326,1225,977,237
L1_ETMHF150,0.7,0.4,0.3,-90.8%,-23.6%,57.6%,0.7,0.2,-63.6%,714,374,303,1184,651,237
L1_ETMHF100_HTT60er,2.0,5.6,4.2,64.8%,-31.7%,-116.0%,2.3,3.8,66.6%,1957,5567,4228,3062,2279,3797
L1_ETMHF110_HTT60er,1.3,2.1,1.6,39.0%,-29.5%,-26.6%,1.3,1.8,36.6%,1291,2116,1634,2000,1303,1780
L1_ETMHF120_HTT60er,0.9,1.0,0.7,1.5%,-30.8%,22.3%,0.8,0.8,2.0%,946,960,734,1510,814,831
L1_ETMHF130_HTT60er,0.8,0.6,0.5,-35.2%,-14.1%,35.2%,0.7,0.6,-8.9%,792,586,514,1225,651,593
